uid,org,work_location,certification,issue_date,type
07677B781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Think Like a Hacker,2022-07-02,badge
07677B781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Essentials,2022-07-01,badge
07677B781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2021-08-10,badge
07677B781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2020-10-23,badge
07677B781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Becoming User Centric,2020-06-03,badge
07677B781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Python for Data Science,2020-03-20,badge
07677B781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson and Cloud Foundations,2020-03-04,badge
07677B781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2020-02-24,badge
07677B781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking - Team Essentials for AI,2019-10-22,badge
07677B781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-08-30,badge
07677B781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2019-04-12,badge
003434781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2021-01-08,badge
060725781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",The IBM Way,2020-12-28,badge
060725781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Presentation, Collaboration, and Problem Solving",2020-09-30,badge
060725781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Service Corps Alum,2020-01-08,badge
060725781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",TJBot Advocate,2019-12-12,badge
060725781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Python for Data Science,2018-10-01,badge
060725781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cognitive Practitioner,2018-08-09,badge
060725781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2018-04-26,badge
060725781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Advocate,2018-03-14,badge
060725781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-12-13,badge
061794781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2020-12-23,badge
061794781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2020-12-08,badge
061794781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-07-18,badge
061794781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2019-11-21,badge
061794781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Method for Cloud Explorer,2019-11-11,badge
061794781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-09-18,badge
061794781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevOps Essentials,2019-07-27,badge
061794781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",The IBM Way,2019-07-24,badge
061794781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Hadoop Foundations - Level 1,2019-07-23,badge
061794781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Big Data Foundations - Level 1,2019-06-25,badge
075382781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Advocate,2021-09-29,badge
075382781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Presentation, Collaboration, and Problem Solving",2020-12-16,badge
075382781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson Discovery Foundations,2020-03-27,badge
075382781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-04-11,badge
075382781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-08-27,badge
070892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Blue Core Coach,2022-05-18,badge
070892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2020-12-30,badge
070892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Design and Deploy Sales Plans,2020-12-30,badge
070892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-02-15,badge
070892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Think Like a Hacker,2020-02-15,badge
070892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2019-12-05,badge
070892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Recognized Teacher/ Educator,2019-09-13,badge
070892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Mentor,2019-07-03,badge
070892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Kubernetes Service,2019-05-22,badge
070892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Hadoop Foundations - Level 1,2018-09-03,badge
070892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Professional - Foundational Level,2018-08-17,badge
070892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-07-25,badge
070892781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2017-01-03,badge
000587781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Spark - Level 1,2021-04-05,badge
000587781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-08-21,badge
000587781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Analysis Using Python,2020-06-30,badge
000587781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cognitive Practitioner,2020-04-01,badge
000587781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Python for Data Science,2020-03-11,badge
000587781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Machine Learning with Python - Level 1,2020-03-03,badge
07760A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking - Team Essentials for AI,2021-10-12,badge
07760A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science with Scala,2021-10-05,badge
07760A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2021-09-07,badge
07760A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Spark - Level 1,2021-04-02,badge
07760A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Mentor,2020-12-11,badge
07760A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Recognized Teacher/ Educator,2020-06-15,badge
07760A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2020-04-26,badge
07760A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Carbon Design System Developer Essentials - React,2020-04-06,badge
07760A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cognitive Practitioner,2020-03-26,badge
07760A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-01-10,badge
07760A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2019-08-28,badge
003102781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-09-24,badge
003102781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Carbon Design System Developer Essentials - React,2021-07-20,badge
003102781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2021-07-13,badge
001676781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Core,2021-12-03,badge
001676781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Spark - Level 1,2022-01-02,badge
001676781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Python for Data Science,2019-05-09,badge
001676781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Scala Programming for Data Science - Level 1,2022-01-30,badge
001676781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2021-10-10,badge
001676781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Application Programmer - PL/1 Programming - Expert,2021-09-25,badge
001676781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2021-06-30,badge
001676781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-12-01,badge
001676781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-11-29,badge
001676781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2020-11-28,badge
001676781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Design and Deploy Sales Plans,2020-11-28,badge
001676781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2020-11-20,badge
104058781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2021-03-24,badge
104058781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-02-23,badge
07841A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Big Data Foundations - Level 2,2020-01-06,badge
07841A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Hadoop Foundations - Level 2,2020-01-10,badge
07841A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Simplifying Data Pipelines with Apache Kafka,2023-01-03,badge
07841A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2021-05-19,badge
07841A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Spark Overview for Scala Analytics,2021-03-16,badge
07841A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Think Like a Hacker,2021-01-08,badge
07841A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Scala Programming for Data Science - Level 1,2020-11-26,badge
07841A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Design and Deploy Sales Plans,2020-11-09,badge
07841A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2020-10-17,badge
07841A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 1,2020-10-02,badge
07841A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-01-27,badge
07841A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-01-23,badge
07841A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cognitive Practitioner,2020-01-11,badge
07841A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Hadoop Administration - Level 1,2020-01-10,badge
07841A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Hadoop Programming - Level 1,2020-01-08,badge
07841A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Spark - Level 1,2020-01-06,badge
07841A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Big Data Foundations - Level 1,2020-01-02,badge
07841A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-12-25,badge
07841A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM DataStage V11.5.x Data Transformation,2019-12-03,badge
07841A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Hadoop Foundations - Level 1,2019-11-28,badge
07841A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Hadoop Data Access - Level 1,2019-11-26,badge
07841A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevOps Essentials,2019-05-20,badge
104457781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-08-26,badge
104457781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Calculate Sales Results and Understand CMDW,2021-08-18,badge
104457781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Design and Deploy Sales Plans,2021-08-18,badge
104457781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2021-08-14,badge
000637781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2022-10-12,badge
000637781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Containers & Kubernetes Essentials,2022-09-29,badge
000637781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Analysis Using Python,2022-09-26,badge
000637781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2022-09-26,badge
000637781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Co-Creator,2022-09-26,badge
000637781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Python for Data Science,2022-09-26,badge
000637781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2022-09-21,badge
000637781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Introduction to Cybersecurity Tools & Cyber Attacks,2022-09-15,badge
000637781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2022-07-22,badge
000637781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2021-01-04,badge
000637781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-09-02,badge
101453781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2022-10-06,badge
001703781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Architectural Thinking,2023-01-17,badge
001703781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Scala Programming for Data Science - Level 1,2020-12-31,badge
104034781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-02-09,badge
108642781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2021-11-19,badge
108642781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2021-08-07,badge
108642781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-07-29,badge
070917781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Calculate Sales Results and Understand CMDW,2021-06-15,badge
070917781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Design and Deploy Sales Plans,2021-03-27,badge
070917781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Mentor,2021-01-29,badge
070917781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2020-12-05,badge
070917781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-03-05,badge
070917781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Professional - Foundational Level,2018-11-26,badge
070917781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Specialist - TSO and ISPF,2017-11-15,badge
070917781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-10-12,badge
07999D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Volunteers Engagement Award,2021-07-21,badge
07999D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Design and Deploy Sales Plans,2020-12-16,badge
07999D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2020-12-05,badge
07999D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-12-31,badge
071010781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-03-27,badge
071010781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Advocate,2018-09-15,badge
071010781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2018-08-27,badge
071010781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2018-04-19,badge
071010781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Industrial Products Industry Jumpstart,2018-04-03,badge
071010781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Essentials,2018-03-02,badge
071010781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Advisory Project Manager,2017-01-20,badge
071010781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Associate Project Manager,2016-10-21,badge
